Date,3month,bond,ftse100,ftse250,nikkei,russell,sp400,sp500
2015-01-11,2.5e-05,0.001138,1.5e-05,-0.001403,-0.001602,-0.00158,-0.001765,-0.002702
2015-01-12,2.5e-05,0.001141,1.5e-05,-0.001404,-0.001604,-0.001574,-0.001769,-0.002714
2015-01-13,2.5e-05,0.000475,0.006276,0.008861,-0.001607,0.000466,-0.00106,-0.002579
2015-01-14,3.3e-05,0.001443,-0.023494,-0.013235,-0.017074,-0.003032,-0.003945,-0.005813
2015-01-15,2.5e-05,0.002976,0.017265,0.002722,0.01862,-0.018988,-0.010922,-0.009248
2015-01-16,2.5e-05,-0.000711,0.007925,0.000454,-0.014293,0.019,0.014161,0.013424
2015-01-17,2.5e-05,-0.000711,0.001791,0.003029,0.002967,-0.00136,-0.000678,0.000386
2015-01-18,2.5e-05,-0.000708,0.001789,0.003019,0.002959,-0.001362,-0.000671,0.000391
2015-01-19,2.5e-05,-0.000712,0.001784,0.003011,0.00295,-0.001364,-0.000679,0.000386
2015-01-20,2.5e-05,0.001308,0.005254,0.003695,0.020689,-0.001365,-0.000679,0.000386
2015-01-21,2.5e-05,-0.002479,0.016299,0.00786,-0.004942,-0.003418,0.006097,0.004732
2015-01-22,2.5e-05,-0.001355,0.010196,0.00773,0.002809,0.020682,0.018506,0.01527
2015-01-23,1.7e-05,0.005103,0.005326,0.004882,0.010545,-0.00121,-0.004445,-0.005492
2015-01-24,1.7e-05,-1.9e-05,0.000956,0.000235,-0.000823,0.003314,0.003709,0.000858
2015-01-25,2.5e-05,-2.3e-05,0.000956,0.000236,-0.000824,0.003295,0.003696,0.000852
2015-01-26,2.5e-05,-1.9e-05,0.000954,0.000235,-0.000824,0.003292,0.003682,0.000856
2015-01-27,1.7e-05,0.000212,-0.005954,-0.007082,0.017161,-0.005064,-0.006433,-0.013388
2015-01-28,1.7e-05,0.00598,0.002099,0.004393,0.001544,-0.016356,-0.012212,-0.013496
2015-01-29,2.5e-05,-0.001995,-0.002241,-0.004061,-0.010649,0.012816,0.0074,0.009535
2015-01-30,1.7e-05,0.003904,-0.008986,-0.003255,0.003872,-0.020829,-0.013914,-0.012992
2015-01-31,1.7e-05,1.5e-05,0.00164,0.001018,-0.002194,0.002892,0.002808,0.004321
2015-02-01,1.7e-05,0.00021,0.001636,0.001016,-0.0022,0.002892,0.0028,0.004302
2015-02-02,1.7e-05,0.00021,0.001635,0.001016,-0.002204,0.002875,0.002792,0.004284
2015-02-03,1.7e-05,-0.005901,0.013151,0.013129,-0.012655,0.018273,0.018484,0.014439
2015-02-04,8e-06,-0.000106,-0.001717,8.1e-05,0.019779,-0.004637,-0.00441,-0.004156
2015-02-05,1.7e-05,-0.000751,0.00086,0.007443,-0.009849,0.014495,0.009949,0.010291
2015-02-06,1.7e-05,-0.005903,-0.001821,-0.000561,0.00822,-0.002689,-0.003475,-0.003418
2015-02-07,1.7e-05,0.000137,-0.000788,-0.002126,0.001198,-0.002663,-0.001679,-0.001416
2015-02-08,8e-06,0.000133,-0.000789,-0.002131,0.001197,-0.00267,-0.001675,-0.001418
2015-02-09,8e-06,0.000137,-0.000789,-0.002135,0.001195,-0.002677,-0.001685,-0.00142
2015-02-10,8e-06,-0.002695,-0.001185,0.004797,-0.003345,0.006146,0.007574,0.010676
2015-02-11,8e-06,0.00035,-0.001596,-0.001569,0.009263,-0.001355,-0.000331,-2.9e-05
2015-02-12,1.7e-05,0.000909,0.001452,0.010631,0.009178,0.012251,0.009966,0.009645
2015-02-13,8e-06,-0.002026,0.006649,0.002282,-0.003691,0.00564,0.005305,0.004075
2015-02-14,8e-06,0.000114,-0.000796,0.000267,0.001701,0.000384,-1.3e-05,0.000401
2015-02-15,8e-06,0.00011,-0.000795,0.000266,0.001698,0.000384,-2e-05,0.0004
2015-02-16,1.7e-05,0.000114,-0.000797,0.000266,0.001695,0.000384,-1.3e-05,0.000395
2015-02-17,1.7e-05,-0.006091,0.005979,0.001569,-0.000982,0.000384,-1.3e-05,0.0004
2015-02-18,1.7e-05,0.005393,0.0,0.006777,0.011791,0.0024,0.003487,-0.000314
2015-02-19,1.7e-05,-0.002141,-0.001334,0.002803,0.003606,-3.3e-05,-0.001724,-0.001062
2015-02-20,1.7e-05,-0.000332,0.003818,0.004268,0.003696,0.00316,0.007646,0.006126
2015-02-21,1.7e-05,0.001715,-0.000145,0.000884,0.002448,8e-06,-0.00027,-0.0001
