Date,NIKKEI225
1950-08-30,114.59
1950-08-31,114.55
1950-09-01,113.46
1950-09-02,112.72333333333333
1950-09-03,111.98666666666666
1950-09-04,111.25
1950-09-05,111.48
1950-09-06,112.06
1950-09-07,110.82
1950-09-08,108.39
1950-09-09,108.34666666666666
1950-09-10,108.30333333333334
1950-09-11,108.26
1950-09-12,108.23
1950-09-13,108.52
1950-09-14,109.48
1950-09-15,110.35
1950-09-16,109.99333333333333
1950-09-17,109.63666666666667
1950-09-18,109.28
1950-09-19,108.46
1950-09-20,107.24
1950-09-21,108.22
1950-09-22,107.22
1950-09-23,106.46333333333334
1950-09-24,105.70666666666666
1950-09-25,104.95
1950-09-26,105.52
1950-09-27,105.41
1950-09-28,103.81
1950-09-29,103.58
1950-09-30,103.56
1950-10-01,103.53999999999999
1950-10-02,103.52
1950-10-03,103.65
1950-10-04,105.44
1950-10-05,107.28
1950-10-06,106.54
1950-10-07,106.34333333333333
1950-10-08,106.14666666666668
1950-10-09,105.95
1950-10-10,106.21
1950-10-11,106.78
1950-10-12,105.99
1950-10-13,106.5
1950-10-14,106.74333333333334
1950-10-15,106.98666666666666
1950-10-16,107.23
1950-10-17,106.72
1950-10-18,107.25
1950-10-19,107.44
1950-10-20,106.78
1950-10-21,106.63666666666667
1950-10-22,106.49333333333333
1950-10-23,106.35
1950-10-24,105.97
1950-10-25,106.15
1950-10-26,106.33
1950-10-27,105.88
1950-10-28,105.71666666666667
1950-10-29,105.55333333333333
1950-10-30,105.39
1950-10-31,106.16
1950-11-01,108.55
1950-11-02,111.02
1950-11-03,111.0675
1950-11-04,111.115
1950-11-05,111.1625
1950-11-06,111.21
1950-11-07,110.55
1950-11-08,109.49
1950-11-09,109.49
1950-11-10,110.14
1950-11-11,110.26
1950-11-12,110.38
1950-11-13,110.5
1950-11-14,111.26
1950-11-15,110.64
1950-11-16,111.08
1950-11-17,111.42
1950-11-18,111.05
1950-11-19,110.68
1950-11-20,110.31
1950-11-21,109.96
1950-11-22,109.91
1950-11-23,109.94
1950-11-24,109.97
1950-11-25,110.95666666666666
1950-11-26,111.94333333333334
1950-11-27,112.93
1950-11-28,112.23
1950-11-29,111.75
1950-11-30,109.75
1950-12-01,110.05
1950-12-02,109.04333333333334
1950-12-03,108.03666666666666
1950-12-04,107.03
1950-12-05,106.43
1950-12-06,106.58
1950-12-07,105.94
1950-12-08,103.62
1950-12-09,103.67333333333333
1950-12-10,103.72666666666667
1950-12-11,103.78
1950-12-12,102.55
1950-12-13,101.04
1950-12-14,101.15
1950-12-15,101.58
1950-12-16,101.52666666666667
1950-12-17,101.47333333333333
1950-12-18,101.42
1950-12-19,100.76
1950-12-20,100.84
1950-12-21,99.49
1950-12-22,98.27
1950-12-23,98.98666666666666
1950-12-24,99.70333333333333
1950-12-25,100.42
1950-12-26,101.03
1950-12-27,101.21
1950-12-28,101.91
1950-12-29,101.93714285714286
1950-12-30,101.96428571428571
1950-12-31,101.99142857142857
1951-01-01,102.01857142857142
1951-01-02,102.04571428571428
1951-01-03,102.07285714285713
1951-01-04,102.1
1951-01-05,102.81
1951-01-06,103.50666666666667
1951-01-07,104.20333333333333
1951-01-08,104.9
1951-01-09,106.36
1951-01-10,105.79
1951-01-11,106.54
1951-01-12,108.76
1951-01-13,108.89250000000001
1951-01-14,109.025
1951-01-15,109.1575
1951-01-16,109.29
1951-01-17,108.8
1951-01-18,109.23
1951-01-19,108.86
1951-01-20,108.64666666666666
1951-01-21,108.43333333333334
1951-01-22,108.22
1951-01-23,110.13
1951-01-24,110.47
1951-01-25,111.08
1951-01-26,110.36
1951-01-27,110.42666666666666
1951-01-28,110.49333333333334
1951-01-29,110.56
1951-01-30,112.59
1951-01-31,115.43
1951-02-01,115.0
1951-02-02,117.01
1951-02-03,117.81666666666668
1951-02-04,118.62333333333333
1951-02-05,119.43
1951-02-06,119.24
1951-02-07,120.47
1951-02-08,120.1
1951-02-09,118.23
1951-02-10,118.52
1951-02-11,118.81
1951-02-12,119.1
1951-02-13,119.49
1951-02-14,118.31
1951-02-15,118.275
1951-02-16,118.24
1951-02-17,118.75999999999999
1951-02-18,119.28
1951-02-19,119.8
1951-02-20,119.56
1951-02-21,119.15
1951-02-22,119.86
1951-02-23,121.88
1951-02-24,121.50333333333333
1951-02-25,121.12666666666667
1951-02-26,120.75
1951-02-27,120.9
1951-02-28,121.84
1951-03-01,122.71
1951-03-02,123.93
1951-03-03,125.25
1951-03-04,126.57000000000001
1951-03-05,127.89
1951-03-06,126.89
1951-03-07,128.9
1951-03-08,130.55
1951-03-09,129.9
1951-03-10,129.98
1951-03-11,130.06
1951-03-12,130.14
1951-03-13,131.67
1951-03-14,132.5
1951-03-15,132.91
1951-03-16,132.97
1951-03-17,131.89666666666668
1951-03-18,130.82333333333332
1951-03-19,129.75
1951-03-20,127.81
1951-03-21,126.765
1951-03-22,125.72
1951-03-23,125.95
1951-03-24,125.78
1951-03-25,125.61
1951-03-26,125.44
